,News Outlet,Text,Compound Score,Positive Score,Neutral Score,Negative Score
22,@BBCWorld,"Rival populist leaders fight for right to govern Italy, after general election failed to give majority to any single party https://t.co/rVndNhuPNR",-0.4939,0.102,0.677,0.222
23,@BBCWorld,Oscars 2018: Four things to take away from this year's awards https://t.co/zrAqXIJCpk,0.4588,0.214,0.786,0.0
24,@BBCWorld,What challenges face Sierra Leone's next president? https://t.co/RM06wepOtk,0.0772,0.157,0.843,0.0
25,@BBCWorld,Singer Joss Stone sends musical instruments to refugee camps https://t.co/ghI3VGR8k3,0.0,0.0,1.0,0.0
26,@BBCWorld,Students in Portsmouth 'first to take Hinglish course' https://t.co/1y2saMlHdG,0.0,0.0,1.0,0.0
27,@BBCWorld,Davide Astori death: Prosecutors open investigation https://t.co/lUPL7dogDS,-0.5994,0.0,0.606,0.394
28,@BBCWorld,Is this a 'luxury prison'? https://t.co/cj3ewqyiXo,0.0,0.0,1.0,0.0
29,@BBCWorld,What does Italy's election result mean? https://t.co/WL4b8T3c3v,0.0,0.0,1.0,0.0
30,@BBCWorld,Iceland police arrest suspected Bitcoin server thieves https://t.co/VXVDybVRnu,-0.765,0.0,0.397,0.603
31,@BBCWorld,"Meet Wang Chi, a plus-size actress in Taiwan. She's determined to prove you can be beautiful at any size https://t.co/7pnyfWzRcn",0.743,0.27,0.73,0.0
32,@BBCWorld,Syria war: Aid convoy heads to Eastern Ghouta https://t.co/19VskSLq20,-0.5994,0.0,0.672,0.328
33,@BBCWorld,Oscars 2018: Latin America shines as del Toro wins big https://t.co/rNXcOsFQDj,0.5719,0.27,0.73,0.0
34,@BBCWorld,Listeria outbreak: South Africa bins polony and other meats https://t.co/SGPSqLiOw8,0.0,0.0,1.0,0.0
35,@BBCWorld,RT @BBCSteveR: It’s 65 years since the death of Joseph Stalin. One Russian paper says “the butcher” would be smiling if he could see how po…,-0.2263,0.097,0.777,0.126
36,@BBCWorld,Germany coalition deal: Merkel promises action on jobs and EU https://t.co/TcsM2g6Emj,0.3818,0.206,0.794,0.0
37,@BBCWorld,Oscars 2018: who or what is an inclusion rider? https://t.co/X6yeKs9cBs,0.0,0.0,1.0,0.0
38,@BBCWorld,"RT @BowenBBC: Relief convoy is in Eastern Ghouta, shd be in there 12 hours. Since they went in airstrikes have resumed, and artillery fire…",0.4767,0.119,0.881,0.0
39,@BBCWorld,Trump trade row: EU considers tax on Levi jean imports https://t.co/z3zDKfMZJZ,0.0,0.0,1.0,0.0
40,@BBCWorld,Big Cheese festival apologises for running out of cheese https://t.co/rriVVmga4V,0.6124,0.385,0.615,0.0
41,@BBCWorld,Tree loss pushing beetles to the brink https://t.co/lp2eypdq3z,-0.3182,0.0,0.753,0.247
42,@BBCWorld,Oscars 2018: The awards they didn't give https://t.co/aCAdZneXjZ,0.4588,0.3,0.7,0.0
43,@BBCWorld,Oscars 2018: Why is everyone talking about this outfit? https://t.co/WRk14BAtkC,0.0,0.0,1.0,0.0
44,@BBCWorld,RT @BBCBreaking: A convoy with aid for thousands of trapped Syrians enters rebel enclave of Eastern Ghouta for first time in weeks https://…,-0.6124,0.0,0.8,0.2
45,@BBCWorld,RT @BBCBreaking: North Korean leader Kim Jong-un meets officials from the South in Pyongyang for the first time https://t.co/VGzifDW5Ao,0.0,0.0,1.0,0.0
46,@BBCWorld,Syria war: Aid set to enter Eastern Ghouta despite airstrikes https://t.co/fmruAJklmP,-0.5994,0.0,0.719,0.281
47,@BBCWorld,"RT @BowenBBC: Trucks lined up for first humanitarian convoy into Eastern Ghouta since 14 Feb, and not many before that too. First slight ea…",0.0,0.0,1.0,0.0
48,@BBCWorld,'Davide Astori's death leaves Fiorentina and Italy in state of shock' https://t.co/m2RWz3UncD,-0.7579,0.0,0.606,0.394
49,@BBCWorld,Cardinal Pell returns to court to fight sexual offence charges https://t.co/3l529QdxcT,-0.7096,0.0,0.537,0.463
50,@BBCWorld,Oscars 2018: Host Jimmy Kimmel takes aim at Harvey Weinstein https://t.co/YzVb6VSf3f,0.0,0.0,1.0,0.0
51,@BBCWorld,Watch highlights from the Oscars red carpet https://t.co/u6SRWyE37G,0.0,0.0,1.0,0.0
52,@BBCWorld,Oscars 2018: The Shape of Water and Frances McDormand rule https://t.co/ulBtEfsT5r,0.0,0.0,1.0,0.0
53,@BBCWorld,RT @BBCNewsEnts: Did you notice how sparkly the #Oscars set was? It was embellished with 45 million crystals and took over 3000 hours to bu…,0.0,0.0,1.0,0.0
54,@BBCWorld,"RT @BBCNewsEnts: And that someone is Mark Bridges, who won best costume design for Phantom Thread (and this delightful green jetski).. he h…",0.9246,0.383,0.617,0.0
55,@BBCWorld,"RT @BBCBreaking: #Oscars 

The Shape of Water wins Best Picture  

Our #Oscars2018 coverage: https://t.co/dlCCu0XrFs 

And full winners lis…",0.9001,0.423,0.577,0.0
56,@BBCWorld,RT @BBCNewsEnts: 'All the female honourees stand with me - all the women. Look around because we all have stories to tell and projects we n…,0.0,0.0,1.0,0.0
57,@BBCWorld,China NPC: Government sets trillion yuan military budget https://t.co/ZSNSJr3hdc,0.0,0.0,1.0,0.0
58,@BBCWorld,"@BBCBreaking #Oscars 

Gary Oldman just won Best Actor. But here were the other great nominees: 

-Daniel Kaluuya
-Timothee Chalamet
-Denzel Washington
-Daniel Day-Lewis https://t.co/mgwmOBYeou

Live #Oscars2018 coverage continues. Best Picture is upon us https://t.co/lMAbMHWgZd",0.9531,0.351,0.649,0.0
59,@BBCWorld,South Koreans head to North to broker possible US talks https://t.co/6iRTuQjNYT,0.0,0.0,1.0,0.0
60,@BBCWorld,"RT @BBCJamesCook: Accepting the Academy Award for Best Actor, Gary Oldman thanks his 98-year-old mother. ""Put the kettle on, I'm bringing O…",0.9217,0.423,0.577,0.0
61,@BBCWorld,"RT @BBCBreaking: #Oscars 

Gary Oldman wins Best Actor for Darkest Hour

Live #Oscars2018 coverage: https://t.co/dlCCu0XrFs

#Oscars90 winn…",0.6908,0.315,0.558,0.127
62,@BBCWorld,US woos old enemy as China waits in wings https://t.co/dxnwC6PNyB,-0.5423,0.0,0.72,0.28
63,@BBCWorld,"RT @BBCBreaking: #Oscars 

Guillermo Del Toro wins Best Director for The Shape of Water

Live #Oscars2018 coverage: https://t.co/dlCCu0XrFs…",0.836,0.331,0.669,0.0
64,@BBCWorld,"RT @BBCNorthAmerica: Guess what? 

Remember Me just won Best original song at the #Oscars https://t.co/0tAKybKbQO

Viva Mexico. ??? #Coco…",0.8807,0.389,0.611,0.0
65,@BBCWorld,RT @SallyBundockBBC: Join us for #BBCTheBriefing at 05:00 GMT. We're live at the #Oscars plus #Italianelections2018 and in #BusinessBriefin…,0.296,0.109,0.891,0.0
66,@BBCWorld,"#Oscars 

Winner of Best original screenplay:

Get Out Get Out Get Out Get Out Get Out Get Out Get Out Get Out Get Out Get Out Get Out Get Out Get Out Get Out Get Out Get Out Get Out

Live coverage: https://t.co/lMAbMHEFAD 

#Oscars2018 winners list: https://t.co/mgwmOCfPg2 https://t.co/qwhMvs4Hlo",0.9246,0.233,0.767,0.0
67,@BBCWorld,"RT @BBCNewsEnts: James Ivory wins Best Adapted Screenplay for Call Me By Your Name, meaning that Timothee Chalamet shirt makes an appearanc…",0.836,0.283,0.717,0.0
68,@BBCWorld,RT @BBCNewsEnts: An incredible moment for @JordanPeele - Get Out wins best original screenplay at the #Oscars https://t.co/svAuWz7kNn,0.8807,0.421,0.579,0.0
69,@BBCWorld,"RT @BBCNewsEnts: This outfit has been the talk of this year's #Oscars red carpet, find out why here ? https://t.co/9KlRvzPkHW",0.0,0.0,1.0,0.0
70,@BBCWorld,"@BBCBreaking Hands down the best #Oscars speech in history. 

Give Allison Janney a jet ski! 

Live coverage: https://t.co/lMAbMHWgZd 

#Oscars2018 winners list: https://t.co/mgwmOBYeou https://t.co/5PswsRXVPx",0.8221,0.275,0.725,0.0
71,@BBCWorld,"#Oscars 

Here are the more recent wins 

-Best film editing: Dunkirk
-Best visual effects: Blade Runner 2049
-Best animated feature: Coco 

The full #Oscars2018 winners list https://t.co/mgwmOBYeou 

Live: https://t.co/lMAbMHWgZd",0.9701,0.46,0.54,0.0
72,@BBCWorld,RT @BBCNewsEnts: Want to know what's going on at the #Oscars? Here's the latest ? https://t.co/lxwirKGIXV,0.0772,0.085,0.915,0.0
73,@BBCWorld,"And... 

COCO JUST WON BEST ANIMATED FEATURE! #Oscars 

""Our biggest thanks of all to the people of Mexico."" 

*violent sobs* 

Live #Oscars2018 coverage: https://t.co/lMAbMHWgZd

Full winners list: https://t.co/mgwmOBYeou https://t.co/qSbqGMl3Fm",0.949,0.385,0.615,0.0
74,@BBCWorld,"RT @BBCNorthAmerica: #Oscars2018
#Oscars90 

Were celebrities avoiding Ryan Seacrest at the #Oscars? 

Live: https://t.co/0tAKybKbQO

Winne…",-0.34,0.0,0.854,0.146
75,@BBCWorld,"RT @BBCBreaking: #Oscars 

Allison Janney wins Best Supporting Actress for I, Tonya

Live coverage: https://t.co/dlCCu0XrFs 

#Oscars2018 w…",0.8957,0.435,0.565,0.0
76,@BBCWorld,"Remember me
Though I have to say goodbye
Remember me
Don't let it make you cry
For ever if I'm far away
I hold you in my heart
I sing a secret song to you
Each night we are apart 

We're not crying, you are. 

Live #Oscars coverage https://t.co/lMAbMHWgZd https://t.co/b0BMknK0kj",-0.1396,0.051,0.886,0.062
77,@BBCWorld,US aircraft carrier Carl Vinson in historic Vietnam visit https://t.co/jbXTXKiWVu,0.0,0.0,1.0,0.0
78,@BBCWorld,"#Oscars 

And... Dunkirk just won two sound awards for the evening. The first of many to come? 

Live #Oscars2018 coverage https://t.co/lMAbMHWgZd

Full #Oscars90 winners list https://t.co/mgwmOBYeou https://t.co/LwKa62F4fT",0.8689,0.29,0.71,0.0
79,@BBCWorld,Shepherd Bushiri: Meeting the man who ‘walks on air’ https://t.co/VzHKXCQPBU,0.0,0.0,1.0,0.0
80,@BBCWorld,Patrik Hermansson: 'I went undercover in the alt-right' https://t.co/CTbcFjkFhG,0.0,0.0,1.0,0.0
81,@BBCWorld,The day Putin cried https://t.co/ZJwsLi2tIl,-0.3818,0.0,0.606,0.394
82,@BBCWorld,The killer disease with no vaccine https://t.co/1dclKSLSEf,-0.7579,0.0,0.435,0.565
83,@BBCWorld,Notre-Dame: Cracks in the cathedral https://t.co/mrzZEpv7np,0.0,0.0,1.0,0.0
84,@BBCWorld,Big in Asia: The woman showing plus-size can be beautiful https://t.co/9BrAtsfelU,0.5994,0.281,0.719,0.0
85,@BBCWorld,"@BBCBreaking #Oscars 
#Oscars90 
#Oscars2018 

Sam Rockwell just won Best Supporting Actor

The other nominees were:

- Willem Dafoe
- Woody Harrelson
- Richard Jenkins
- Christopher Plummer https://t.co/mgwmOBYeou

Live: https://t.co/lMAbMHWgZd",0.8957,0.32,0.68,0.0
86,@BBCWorld,"#Oscars 

Host @jimmykimmel just made a plea to stamp out bad behavior in Hollywood https://t.co/lMAbMHWgZd

#Oscars90 winners: https://t.co/mgwmOBYeou 

#Oscars2018 https://t.co/pBImXeUMB9",-0.1027,0.131,0.72,0.148
87,@BBCWorld,"RT @BBCBreaking: #Oscars 

Sam Rockwell wins Best Supporting Actor for Three Billboards Outside Ebbing, Missouri

Live coverage: https://t.…",0.8957,0.419,0.581,0.0
88,@BBCWorld,"Daniel Kaluuya, ladies and gents. 

That is all. 

#Oscars 
#Oscars2018 
#Oscars90 

Live: https://t.co/lMAbMHWgZd https://t.co/bfhYEeR7mS",0.0,0.0,1.0,0.0
89,@BBCWorld,"Even NASA is getting in on the #Oscars excitement. 

#Oscars90
#Oscars2018 

All our live coverage from Hollywood's biggest night https://t.co/lMAbMHWgZd https://t.co/BHIwB9PLI1",0.4939,0.138,0.862,0.0
90,@BBCWorld,RT @BBCClick: Good luck to all those nominated in the best visual effects category at tonight's #Oscars. See our interviews with the vfx te…,0.8779,0.325,0.675,0.0
91,@BBCWorld,"@BBCNewsEnts And here's what to expect from this year's #Oscars ceremony https://t.co/KVN0i66eBS

Live #Oscars90 coverage https://t.co/lMAbMHWgZd

#Oscars2018",0.0,0.0,1.0,0.0
92,@BBCWorld,"#Oscars

Hollywood's biggest night is finally here - Follow our live coverage on @BBCNewsEnts https://t.co/lMAbMHWgZd

#Oscars2018
#Oscars90",0.0,0.0,1.0,0.0
93,@BBCWorld,"RT @BBCBreaking: Italian exit polls point to hung parliament, with Five-Star movement and right-wing coalition leading field. https://t.co/…",0.0,0.0,1.0,0.0
94,@BBCWorld,China enforces 'holidays' onto dissidents of the state https://t.co/qYa4lsWsO6,0.0,0.0,1.0,0.0
95,@BBCWorld,IS video 'shows deaths of US soldiers in Niger ambush' https://t.co/ejffGEPY8J,0.0,0.0,1.0,0.0
96,@BBCWorld,Catalonia Spain: Pro-unity marchers parody secessionists https://t.co/GFaU2JEWvC,0.0,0.0,1.0,0.0
97,@BBCWorld,Jailed school shooter praises Florida student activists https://t.co/P1QSGZ5XPQ,0.0516,0.27,0.476,0.254
98,@BBCWorld,Slovakia's leaders clash over journalist's killing https://t.co/FijMH4W7vg,-0.6597,0.0,0.577,0.423
99,@BBCWorld,RT @BBCSteveR: Russia's presidential election looks like a show staged by the Kremlin. I've raided the toy box to explain why. https://t.co…,0.3612,0.111,0.889,0.0
0,@CBSNews,"""I'm not going to go to jail,"" former Trump campaign aide Sam Nunberg repeatedly insisted in a series of cable news interviews on Monday, after stating that he will not comply with a subpoena order issued by special counsel Robert Mueller https://t.co/DdzRhMmg31 https://t.co/IiIDEUke1t",0.4019,0.063,0.937,0.0
1,@CBSNews,"Teens who use e-cigarettes are exposed to significant levels of chemicals that could potentially cause cancer, a new study finds. https://t.co/Lqejd2bzPH https://t.co/z8ZECoyaGV",-0.5994,0.071,0.706,0.224
2,@CBSNews,Can a one-handed linebacker make it in the NFL? Shaquem Griffin made his case that he can with an electrifying performance before scouts and coaches at the NFL Scouting Combine. https://t.co/8QUdvZUa2l https://t.co/VKBNA2bdy5,0.0,0.0,1.0,0.0
3,@CBSNews,Federal Trade Commission says younger Americans -- those in their 20s and early 30s -- are more vulnerable than older people to scammers. https://t.co/0P6XDFPgnZ https://t.co/utG9HNs1cv,-0.2944,0.0,0.916,0.084
4,@CBSNews,"Even as the cleanup from last weekend's nor'easter is underway, another storm is headed to the East Coast Wednesday, bringing up to 12 inches of snow in some parts. https://t.co/SdLVDBaRfD https://t.co/mIc2CHYyJH",0.0,0.0,1.0,0.0
5,@CBSNews,House speaker Paul Ryan thinks the president's decision to hit countries with tariffs on imported aluminum and steel could backfire and hurt American businesses. https://t.co/1ppUQCWEgt https://t.co/WIcQNrnhbX,-0.5267,0.0,0.88,0.12
6,@CBSNews,"""This is mine!"": Man accused of stealing the best actress winner Frances McDormand's Academy Award posted a video of himself with the statue on social media. https://t.co/P8oAAnGfHT https://t.co/1IMsNB1rU2",0.784,0.297,0.554,0.149
7,@CBSNews,"Passengers onboard United Express Flight 5449 restrained a Boise, Idaho, woman who was ranting about being God and tried to open the aircraft cabin door while the plane was in flight. https://t.co/LJXflL046O https://t.co/7Z8if49IUu",0.5994,0.14,0.86,0.0
8,@CBSNews,"It was a big night for ""Three Billboards"" actress Frances McDormand. She won her second Academy Award only to have it stolen hours later. @jamieyuccas reports on the man who allegedly took it. https://t.co/XM9GdNMo5R https://t.co/flXy5HxuFn",0.6124,0.174,0.749,0.077
9,@CBSNews,"Older people are often warned they could be the targets of con artists, but a surprising new report from the Federal Trade Commission says younger folks, those in their 20s, are even more vulnerable. @annawerner explains. https://t.co/qn3o3yebLx",-0.1753,0.066,0.825,0.109
10,@CBSNews,"Throughout Syria's seven-year war, the city of Afrin was untouched, but not anymore. @sethdoane reports from Afrin as doctors there struggle to cope with flood of airstrike victims. https://t.co/94NivKDw9U https://t.co/ON2dpQeRS9",-0.81,0.0,0.764,0.236
11,@CBSNews,"A former spy accused of being a traitor to Russia is fighting for his life in Britain, possibly after being poisoned. @elizapalmer has more. https://t.co/DTOaP4yOHX https://t.co/t2E1zCeLHn",-0.7845,0.0,0.727,0.273
12,@CBSNews,"A new winter storm is bringing snow and freezing rain to the Dakotas and Minnesota tonight, and that system is headed toward the Northeast with plenty of snow expected by Wednesday. @WBZ's @ericfisher has the forecast. https://t.co/QQ1VpgngYF https://t.co/HKPHYrpjFj",-0.1027,0.0,0.963,0.037
13,@CBSNews,A passenger tried to open the door of a plane in flight today. @krisvancleave reports on the mid-air scare. https://t.co/Oxwhx2PuIw,-0.4939,0.0,0.842,0.158
14,@CBSNews,The president stood by his plan to put tariffs on imported steel and aluminum as he faces criticism from the highest levels of his own party. @MajorCBS reports from the White House. https://t.co/W1ingXmVBU https://t.co/tSASz3adZC,-0.0516,0.072,0.851,0.077
15,@CBSNews,"Former Trump campaign aide Sam Nunberg said he will not comply with the special counsel's Russia investigation and dared Robert Mueller to have him arrested. @PaulaReidCBS has more. 
https://t.co/pjUr2pLnVA https://t.co/SYLmDQmxQ1",-0.1027,0.08,0.828,0.092
16,@CBSNews,"Hundreds of protesters take to streets of East Lansing, Michigan, to protest a speech by white nationalist Richard Spencer https://t.co/iz634KfvBJ https://t.co/S2eTNwXbgO",-0.4404,0.0,0.822,0.178
17,@CBSNews,"Senator Thad Cochran, chairman of the appropriations committee, will resign on April 1. The longtime Republican Mississippi senator cites ""health"" concerns as reason for his departure. https://t.co/QUVXLdEyqW https://t.co/MewWreQdNB",-0.34,0.0,0.918,0.082
18,@CBSNews,"""No kid should have to say to their mother –– 'Mommy, am I going to die today if I go to school?'"" Florida shooting victim Alyssa Alhadeff's mother calls for more school safety, nearly three weeks after Parkland massacre. https://t.co/juiktgUNeI https://t.co/bRJFAd2OaN",-0.6275,0.067,0.756,0.177
19,@CBSNews,"""Our daughter was our life. Part of us died that day."" The father of Parkland, Florida, shooting victim Alyssa Alhadeff spoke out as families call on lawmakers to pass gun regulations. https://t.co/juiktgUNeI https://t.co/hSJEkWZnzJ",-0.7964,0.0,0.787,0.213
20,@CBSNews,Three daycare workers who allegedly gave gummy bears that were laced with melatonin to a group of 2-year-old children have been arrested. https://t.co/CpokFyTeHa https://t.co/inqFi4UQLu,-0.4767,0.0,0.876,0.124
21,@CBSNews,Rapper admits having weapon before Little Rock club shooting that injured 25 https://t.co/0u5Agm6wvC https://t.co/rFfNb0QW27,-0.4019,0.122,0.608,0.271
22,@CBSNews,"Former Trump campaign adviser Sam Nunberg refusing to comply with subpoena order issued by special counsel as part of grand jury's probe into Russian interference, Nunberg tells Washington Post https://t.co/OVLfqPIsti https://t.co/XMCizVsYrT",0.4588,0.157,0.769,0.074
23,@CBSNews,".@MajorCBS on tariffs: ""Speaker Ryan fears a trade war that could undermine the economic progress that he said was achieved by tax cuts &amp; tax reform. This WH doesn't fear that, even though there are studies indicating that could create a net loss of jobs if there is a trade war."" https://t.co/xQXOY30nkc",-0.707,0.122,0.662,0.216
24,@CBSNews,"Reporter: Sam Nunberg, on MSNBC said, ""[the president] may have done something during the election but I don't know that for sure.""
@PressSec: He definitely doesn't know that for sure because he is incorrect. https://t.co/JVcXqz7cqj https://t.co/U1jnQVztxX",0.7579,0.165,0.835,0.0
25,@CBSNews,".@PressSec: ""We have a great relationship with Speaker Ryan. We're going to continue to have one, but that doesn't mean we have to agree on everything."" https://t.co/JVcXqz7cqj https://t.co/kIrjLegl8p",0.7003,0.188,0.812,0.0
26,@CBSNews,"""[VA] Secretary Shulkin has repaid several thousand dollars toward some of the travel costs of the trip that was in question,"" @PressSec says https://t.co/JVcXqz7cqj https://t.co/YCfUUMIGHg",0.0,0.0,1.0,0.0
27,@CBSNews,WATCH LIVE: @PressSec Sarah Huckabee Sanders holds White House briefing https://t.co/JVcXqz7cqj https://t.co/3SDNAuwYhl,0.0,0.0,1.0,0.0
28,@CBSNews,"The 2018 Oscars are projected to have its lowest ratings ever in history, but it's not the only show on TV declining in viewers. https://t.co/SOuazEbkul",-0.2023,0.0,0.93,0.07
29,@CBSNews,"""The Federal Bureau of Investigation [FBI], the Broward Sheriff's office and the legislators all failed me and my son and all of these 16 families,"" Max Schachter says
https://t.co/QY08n1aeYQ https://t.co/1812WH1klb",-0.5106,0.0,0.898,0.102
30,@CBSNews,"""There were 17 families who had a tragic loss. We all grieve in our own way but I can tell you we are standing here today and we are unified and together. We want to see common sense reforms in front of the legislature now passed,"" Fred Guttenberg says https://t.co/QY08n1aeYQ https://t.co/MvMAKFlQgO",0.1027,0.089,0.81,0.1
31,@CBSNews,"""We are fighting for all the kids in America, not just Parkland. We are fighting for everyone. No kid should have to say to their mother, 'Mommy, am I going to die today if I go to school?' Think about it!"" mother who lost her daughter in Parkland shooting says https://t.co/BoelW8by10",-0.9134,0.0,0.763,0.237
32,@CBSNews,"""Part of us died that day. My daughter was shot in the heart, in the spine and in the femur and the femoral artery. If she lived she would've been paralyzed for life... No parent should have to deal with this again,"" father who lost his daughter in Parkland shooting says https://t.co/VqVYWu5FKM",-0.7964,0.0,0.858,0.142
33,@CBSNews,"""We believe Gov. Scott's proposals demonstrate good movement toward the goal of preventing future acts of school violence and we call for passage of legislation and funding that achieves these three initiatives during this legislative session,"" father says https://t.co/QY08n1aeYQ https://t.co/Z4EheaAv3U",-0.3182,0.064,0.82,0.115
34,@CBSNews,"""Our state leaders must enhance the safety and security of our schools.... Two, our state leaders must keep guns away from those that pose a risk to themselves or others...Three, our state leaders must improve access to mental health care resources for at risk youth,"" parent says https://t.co/y92N3Aa6zZ",0.7964,0.2,0.726,0.074
35,@CBSNews,WATCH: Family members of Florida school shooting victims speak about new gun legislation https://t.co/QY08n1aeYQ https://t.co/UZAFq32i1H,-0.5719,0.0,0.734,0.266
36,@CBSNews,"More women are rising to leadership roles at Fortune 500 companies, according to reports. Bank of America's vice chairman shares how gender equality is flourishing in the financial industry. For more, download the Global GoalsCast Podcast: https://t.co/QkRyEMVzy0 https://t.co/4SGbUIW2eK",0.296,0.056,0.944,0.0
37,@CBSNews,"Russian convicted of spying for U.K. falls ill after exposure to substance, BBC reports https://t.co/Af9weOaDO4 https://t.co/0z3blD4gBl",-0.4215,0.0,0.843,0.157
38,@CBSNews,"Pennsylvania attorney general sues Uber, saying it broke state law when it failed to notify thousands of drivers for a year that hackers stole their personal information https://t.co/AiUOdjowqI https://t.co/5Ug7aCYoc6",-0.7479,0.0,0.803,0.197
39,@CBSNews,"""This is a $4,000 dress. I'm going to wear this dress multiple times,"" Tiffany Haddish joked on Saturday Night Live in November. She made good on that promised at the Oscars, and she wasn't the only actress who wore the same dress twice. https://t.co/sgDku2DeEV",0.7717,0.161,0.839,0.0
40,@CBSNews,"""I looked back down the hall and no one was around -- no one."" Teacher denies accusations of locking students out during Florida massacre https://t.co/1jvvljoCt4 https://t.co/TbLD923I0b",-0.8176,0.0,0.698,0.302
41,@CBSNews,Disturbing photo released in effort to ID possible victim in Toronto serial killing case https://t.co/U6oCrSSiBH https://t.co/KXc8xedRxj,-0.8689,0.0,0.57,0.43
42,@CBSNews,"“We have a very bad deal with Mexico and Canada, it is called NAFTA. Our factories have left our country, Jobs have left our country for many years. NAFTA has been a disaster. We are renegotiating NAFTA...and if we don't make a deal, I will terminate NAFTA,” @POTUS says https://t.co/2hTt6rjt4L",-0.8357,0.0,0.848,0.152
43,@CBSNews,"President Trump answers reporters' questions on new Embassy in Jerusalem, saying he may visit Israel again https://t.co/rqvozDTAGW https://t.co/aSCzpAhlTb",0.0,0.0,1.0,0.0
44,@CBSNews,"“If I had to say what is greatest challenge in the Middle East to both of our countries, and our Arab neighbors, it is encapsulated in one word: Iran,” PM Netanyahu says 
https://t.co/rqvozDTAGW https://t.co/KUKraqedTq",0.6705,0.151,0.849,0.0
45,@CBSNews,"RECALL ALERT: Nearly 40,000 high chairs sold at Walmart recalled after five kids hurt https://t.co/dNkvpM3sp1 https://t.co/vGN69rsTAc",-0.1197,0.144,0.689,0.167
46,@CBSNews,"“Jerusalem was a wonderful thing...Many presidents were discussing whether or not to make that decision, they promised it in the campaigns, but they were never able to do what they should have done. So I was able to it,” @POTUS says of recognizing Jerusalem as Israel’s capital https://t.co/JS27qg1rOO",0.4767,0.085,0.915,0.0
47,@CBSNews,MOMENTS AGO: President Trump meets with Israeli Prime Minister Netanyahu in the Oval Office https://t.co/rqvozDTAGW https://t.co/ZWd8qPH5qf,0.0,0.0,1.0,0.0
48,@CBSNews,Amazon's next product may be a checking account https://t.co/9y3hrPbkxe https://t.co/rDnoEIGPS5,0.0,0.0,1.0,0.0
49,@CBSNews,MOMENTS AGO: President Trump and first lady Melania Trump greet Israeli Prime Minister Benjamin Netanyahu and his wife at the White House https://t.co/DstGvw2LG0 https://t.co/njxvVjyglZ,0.3182,0.091,0.909,0.0
